Site,SqlInstanceSource,SqlInstanceTarget,Database,PublicationName
"QUI","FRQUISV31\SQL_CITECT","FRQUISR31\SQL_CITECT","QUI31","CONFIG"
"QUI","FRQUISV32\SQL_CITECT","FRQUISR32\SQL_CITECT","QUI32","CONFIG"
"DAM","FRDAMSV16\SQL_CITECT","FRDAMSR16\SQL_CITECT","DAMA6","CONFIG"
"DOY","FRDOYSV28\SQL_CITECT","FRDOYSR28\SQL_CITECT","DOY28","CONFIG"
"SFA","FRSFASV36\SQL_CITECT","FRSFASR36\SQL_CITECT","SFA36","CONFIG"
"SFA","FRSFASV37\SQL_CITECT","FRSFASR37\SQL_CITECT","SFA37","CONFIG"
"SFA","FRSFASV38\SQL_CITECT","FRSFASR38\SQL_CITECT","SFA38","CONFIG"
"SGA","FRSGASV50\SQL_CITECT","FRSGASR50\SQL_CITECT","SGA50","CONFIG"
"SGA","FRSGASV51\SQL_CITECT","FRSGASR51\SQL_CITECT","SGA51","CONFIG"
"SGF","FRSGFSV10\SQL_CITECT","FRSGFSR10\SQL_CITECT","SGF10","CONFIG"
"SGF","FRSGFSV12\SQL_CITECT","FRSGFSR12\SQL_CITECT","SGF12","CONFIG"